A0_Samples	Title	Source	Cohort	SampleType	Tissue	DataSet	ColonSite
GSM2101823	11	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101824	12	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101825	13	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101826	15	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101827	16	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101828	2	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101829	3	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101830	4	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101831	5	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101832	7	Colon/Rectum	test cohort	normal	Paired	GSE79740	Left Colon
GSM2101833	10	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101834	11	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101835	12	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101836	13	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101837	14	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101838	15	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101839	16	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101840	17	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101841	18	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101842	19	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101843	1	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101844	22	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101845	23	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101846	24	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101847	26	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101848	27	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101849	28	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101850	2	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101851	30	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101852	3	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101853	4	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101854	5	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101855	6	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101856	7	Colon/Rectum	test cohort	tumour	Paired	GSE79740	Left Colon
GSM2101857	8	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101858	9	Colon/Rectum	test cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101859	S1	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101860	S2	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101861	S3	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101862	S4	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101863	S5	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101864	S6	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101865	S7	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101866	S8	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101867	S9	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101868	S10	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101869	S11	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101870	S12	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101871	S13	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101872	S14	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101873	S15	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101874	S16	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101875	S17	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
GSM2101876	S18	Colon/Rectum	validation cohort	tumour	Unpair	GSE79740	Left Colon
